cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
9,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0491,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-14,a2e1118fb7afb82b0347724553f8a6cce9c0016a6b297eb38080881300b7b0e4,manual_review_same_title_year
9,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0492,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-25,18cb25e3cfe2e1619830b3ebb3448d74a1368b26b11a0002f177b30dd3c2db49,manual_review_same_title_year
10,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0503,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,79a2a2c6c99e7f757730c749cf6413e9745d1b0340b19f15115c0c7e69a006a3,manual_review_same_title_year
10,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0504,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,e5acd87e40af9998b6c2b797e1f7ab5d4b1ae0e90166d7a226cf93f617c44937,manual_review_same_title_year
11,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0506,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-10,6c2b694c3e5be405474e5e96c18cac879c3d0301d5f9707a7cd583ac6962f9fa,manual_review_same_title_year
11,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0507,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-21,8f4371d597d005abf36b212ea850fefb98dfb9b3c6f5de82b32dc85ac18a56f6,manual_review_same_title_year
12,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0508,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-08-27,ceafd8b4d6458559d4d5a144768d4e9d86a800c875b390b6626897e834f4d49d,manual_review_same_title_year
12,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0509,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-09-04,113317519d8bcf0a00b70bb93affd85f00b96890849daca76023b105c4f056f3,manual_review_same_title_year
13,lonmin to derecognise smaller unions in favour of amcu,2013,expanded_media_candidates__EXP-MEDIA-003,Lonmin to derecognise smaller unions in favour of AMCU,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,a0ac1cdffa5fe26d47c2c621ce789456afc6aa1b5d583d72c1979254dc40100a,manual_review_same_title_year
13,lonmin to derecognise smaller unions in favour of amcu,2013,DISC-MEDIA-0514,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,c91dfc4735adff081f404bf0a1dda58d1a02ec889ec763fdd84e554ff6aef816,manual_review_same_title_year
