candidate_id,title,year,publisher,url,final_url,original_text_sha256,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
DISC-MEDIA-0375,Amplats Lonmin Workers To Strike In Support Of Sibanyes Gold Employees,2019,Engineering News,https://www.engineeringnews.co.za/article/amplats-lonmin-workers-to-strike-in-support-of-sibanyes-gold-employees-2019-02-21,https://www.engineeringnews.co.za/article/amplats-lonmin-workers-to-strike-in-support-of-sibanyes-gold-employees-2019-02-21,2ce9ff4e49c23e55043275b4afffd036c45453205f41275677598605dda65fda,retrieved_extracted,,2019-02-21,710,2ce9ff4e49c23e55043275b4afffd036c45453205f41275677598605dda65fda,4,,0,strike;worker_miner;wage;union,27,4,,0,0,share_price;earnings_results;production_output;transaction,8,4,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0377,Bank Says Lonmin Investors Should Reject Sibanye Offer,2019,Engineering News,https://www.engineeringnews.co.za/article/bank-says-lonmin-investors-should-reject-sibanye-offer-2019-05-24,https://www.engineeringnews.co.za/article/bank-says-lonmin-investors-should-reject-sibanye-offer-2019-05-24,cf9d193bc7b2e59fbdd77c1f79fd53a6c6681de82baa93d176a07e46f2dad50e,retrieved_extracted,,2019-05-24,636,cf9d193bc7b2e59fbdd77c1f79fd53a6c6681de82baa93d176a07e46f2dad50e,11,,0,worker_miner,2,1,,0,0,share_price;earnings_results;transaction;exploration_project;commodity_market,17,5,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
DISC-MEDIA-0379,Battle To Keep Lonmin Platinum Deal Alive Hinges On The Rand,2018,Engineering News,https://www.engineeringnews.co.za/article/battle-to-keep-lonmin-platinum-deal-alive-hinges-on-the-rand-2018-03-09,https://www.engineeringnews.co.za/article/battle-to-keep-lonmin-platinum-deal-alive-hinges-on-the-rand-2018-03-09,a29b0d085b711d4ed677e8829f8590a783421a6079f9ee8c6b350f24a4c06bad,retrieved_extracted,,2018-03-09,914,a29b0d085b711d4ed677e8829f8590a783421a6079f9ee8c6b350f24a4c06bad,13,,0,worker_miner,1,1,,0,0,share_price;earnings_results;production_output;funding_debt;transaction;commodity_market,16,6,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
DISC-MEDIA-0380,Beamish Appointment As Lonmin Chair Made Permanent,2014,Engineering News,https://www.engineeringnews.co.za/article/beamish-appointment-as-lonmin-chair-made-permanent-2014-07-22,https://www.engineeringnews.co.za/article/beamish-appointment-as-lonmin-chair-made-permanent-2014-07-22,182dc5c513e3082662d8589b0d1b29e990ba1f3813352983b69b4d39bcc6a439,retrieved_extracted,,2014-07-22,424,182dc5c513e3082662d8589b0d1b29e990ba1f3813352983b69b4d39bcc6a439,5,,0,strike;worker_miner,2,2,,0,0,earnings_results;production_output,3,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0382,Bright Interims Better Output Lift Lonmin Share Price,2016,Engineering News,https://www.engineeringnews.co.za/article/bright-interims-better-output-lift-lonmin-share-price-2016-05-16,https://www.engineeringnews.co.za/article/bright-interims-better-output-lift-lonmin-share-price-2016-05-16,375662abfc4005274490dacd252f89adf0e657955f464af19d35d81239f62166,retrieved_extracted,,2016-05-16,723,375662abfc4005274490dacd252f89adf0e657955f464af19d35d81239f62166,7,,0,worker_miner;shooting_death;wage,4,3,,0,0,share_price;earnings_results;production_output;funding_debt;transaction;exploration_project;commodity_market,18,7,false,true,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0383,Britains Competition Watchdog To Look Into Sibanye Lonmin Deal,2018,Engineering News,https://www.engineeringnews.co.za/article/britains-competition-watchdog-to-look-into-sibanye-lonmin-deal-2018-05-15,https://www.engineeringnews.co.za/article/britains-competition-watchdog-to-look-into-sibanye-lonmin-deal-2018-05-15,1c005a672cfe3b74193d4a09f700981372df164ce5f57c576c1ecb61950c0e64,retrieved_extracted,,2018-05-15,770,1c005a672cfe3b74193d4a09f700981372df164ce5f57c576c1ecb61950c0e64,16,,0,worker_miner;wage;union,6,3,commission_inquiry,1,1,share_price;earnings_results;production_output;funding_debt;transaction,16,5,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0384,Cohesive Solutions Needed To Overcome Turbulent Period Lonmin,2016,Engineering News,https://www.engineeringnews.co.za/article/cohesive-solutions-needed-to-overcome-turbulent-period-lonmin-2016-02-18,https://www.engineeringnews.co.za/article/cohesive-solutions-needed-to-overcome-turbulent-period-lonmin-2016-02-18,f5ccfaa2689036a691a4a93aac7e20bd7ea93f28308ec35883b43aebfc1f0a1a,retrieved_extracted,,2016-02-18,548,f5ccfaa2689036a691a4a93aac7e20bd7ea93f28308ec35883b43aebfc1f0a1a,2,,0,worker_miner;wage,3,2,,0,0,earnings_results;production_output;commodity_market,4,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0390,Competition Appeal Court To Hold Sibanye Lonmin Merger Hearing On April 2,2019,Engineering News,https://www.engineeringnews.co.za/article/competition-appeal-court-to-hold-sibanye-lonmin-merger-hearing-on-april-2-2019-01-25,https://www.engineeringnews.co.za/article/competition-appeal-court-to-hold-sibanye-lonmin-merger-hearing-on-april-2-2019-01-25,fe0f6cd7cdf12f9d58c67d1afed889a0bda49285c5d386f7fb3c488c0e8028e9,retrieved_extracted,,2019-01-25,427,fe0f6cd7cdf12f9d58c67d1afed889a0bda49285c5d386f7fb3c488c0e8028e9,5,,0,worker_miner;union,5,2,,0,0,share_price;earnings_results;transaction,6,3,false,true,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0392,Consolidation Needed To Save Jobs Lonmin,2018,Engineering News,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,6ec8b457873c1da1a64e1e146c3744f0e9b759140d1eadddffec8c66f6bf6a99,retrieved_extracted,,2018-05-25,1149,6ec8b457873c1da1a64e1e146c3744f0e9b759140d1eadddffec8c66f6bf6a99,17,,0,,0,0,,0,0,earnings_results;production_output;funding_debt;exploration_project,15,4,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
DISC-MEDIA-0396,Employees Demand Solidaritys Recognition As Trade Union At Lonmin,2017,Engineering News,https://www.engineeringnews.co.za/article/employees-demand-solidaritys-recognition-as-trade-union-at-lonmin-2017-11-10,https://www.engineeringnews.co.za/article/employees-demand-solidaritys-recognition-as-trade-union-at-lonmin-2017-11-10,3cb4cf70d3334d309ee028463e9edcc94b2508bf844b2d5e6e15b6d42d526537,retrieved_extracted,,2017-11-10,536,3cb4cf70d3334d309ee028463e9edcc94b2508bf844b2d5e6e15b6d42d526537,9,,0,worker_miner;union,11,2,,0,0,earnings_results,2,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
