candidate_id,title,year,publisher,url,final_url,prescreen_bucket,original_triage_status,original_text_sha256,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,title_has_case_process_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
DISC-MEDIA-0001,Lonmins Killing Fields,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,lonmin_only_title_review,manual_review_lonmin_only_low_case_signal,9254404f7b89655f987b7c3b57629c411ea0bf8d5f77463cd1d480f252c34e5f,retrieved_extracted,,2012-08-14,1239,9254404f7b89655f987b7c3b57629c411ea0bf8d5f77463cd1d480f252c34e5f,11,,0,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,89,7,housing,1,1,share_price;exploration_project,2,2,true,false,true,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0002,Lonmin Mining Crisis Precarious Balance No Solution In Sight,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-15-lonmin-mining-crisis-precarious-balance-no-solution-in-sight/,https://www.dailymaverick.co.za/article/2012-08-15-lonmin-mining-crisis-precarious-balance-no-solution-in-sight/,lonmin_only_title_review,priority_manual_review_case_signal,fd6770776d9a301c37233ce5c2c349bd7c7d375334fa4780848a7e5b010fa719,retrieved_extracted,,2012-08-15,960,fd6770776d9a301c37233ce5c2c349bd7c7d375334fa4780848a7e5b010fa719,14,marikana;wonderkop,4,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,79,7,,0,0,share_price;earnings_results;production_output,4,3,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0003,Beyond The Chaos At Marikana The Search For The Real Issues,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-beyond-the-chaos-at-marikana-the-search-for-the-real-issues/,https://www.dailymaverick.co.za/article/2012-08-17-beyond-the-chaos-at-marikana-the-search-for-the-real-issues/,explicit_case_title_review,priority_manual_review_case_signal,9606e472faff2db47547a29decba97cd945d05887c7922965fc736f52626da3d,retrieved_extracted,,2012-08-17,1623,9606e472faff2db47547a29decba97cd945d05887c7922965fc736f52626da3d,10,marikana;wonderkop,6,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,66,7,,0,0,share_price;production_output;commodity_market,3,3,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0004,Reporters Notebook Wonderkop Marikana Friday 17Th,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-reporters-notebook-wonderkop-marikana-friday-17th/,https://www.dailymaverick.co.za/article/2012-08-17-reporters-notebook-wonderkop-marikana-friday-17th/,explicit_case_title_review,priority_manual_review_case_signal,54c0a23e29d4264abdabcd5ac8f525423ba45570f3cdadf78de8b47aff850d06,retrieved_extracted,,2012-08-17,914,54c0a23e29d4264abdabcd5ac8f525423ba45570f3cdadf78de8b47aff850d06,5,marikana;wonderkop,7,strike;worker_miner;police;shooting_death;wage;union,76,6,,0,0,,0,0,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0005,Lonmin The Unacceptable Face Of Capitalism,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-lonmin-the-unacceptable-face-of-capitalism/,https://www.dailymaverick.co.za/article/2012-08-20-lonmin-the-unacceptable-face-of-capitalism/,lonmin_only_title_review,priority_manual_review_case_signal,31d82a7e6d3fc16ec83af98c5cc3fdfd62023e2d0ac3d14a18fa48c2b9c9d2b7,retrieved_extracted,,2012-08-20,1180,31d82a7e6d3fc16ec83af98c5cc3fdfd62023e2d0ac3d14a18fa48c2b9c9d2b7,13,marikana,7,strike;worker_miner;police;shooting_death;wage;union,40,6,commission_inquiry,2,1,share_price;production_output;transaction;exploration_project,8,4,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0006,Marikana Massacre Global Medias Focus On Tripartite Failures And The Growing Class Divide,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-marikana-massacre-global-medias-focus-on-tripartite-failures-and-the-growing-class-divide/,https://www.dailymaverick.co.za/article/2012-08-20-marikana-massacre-global-medias-focus-on-tripartite-failures-and-the-growing-class-divide/,explicit_case_title_review,priority_manual_review_case_signal,651ece5c16401e6186e6a251fc7957be39dfc4389ff4a59fd403e05228513d6a,retrieved_extracted,,2012-08-20,974,651ece5c16401e6186e6a251fc7957be39dfc4389ff4a59fd403e05228513d6a,13,marikana,7,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,63,7,justice_accountability,1,1,share_price;exploration_project,2,2,true,false,true,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0007,Outrage At Marikana Massacre Grows Around The World,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-outrage-at-marikana-massacre-grows-around-the-world/,https://www.dailymaverick.co.za/article/2012-08-20-outrage-at-marikana-massacre-grows-around-the-world/,explicit_case_title_review,priority_manual_review_case_signal,8b8405a4d57b83102cbadf632384c2cff33f26569202853bd096b2bf37c07e54,retrieved_extracted,,2012-08-20,971,8b8405a4d57b83102cbadf632384c2cff33f26569202853bd096b2bf37c07e54,4,marikana,1,strike;worker_miner;police;shooting_death;union;protest_unrest,42,6,housing;justice_accountability;commission_inquiry,4,3,earnings_results,1,1,true,false,true,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0008,Analysis A Tough Future For Both Lonmin And Its Metal,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-analysis-a-tough-future-for-both-lonmin-and-its-metal/,https://www.dailymaverick.co.za/article/2012-08-21-analysis-a-tough-future-for-both-lonmin-and-its-metal/,lonmin_only_title_review,priority_manual_review_case_signal,4e17d1334c46e89e432ae6f968932182d6a292b59bc31fa0ec45f46e1f9c32af,retrieved_extracted,,2012-08-21,1604,4e17d1334c46e89e432ae6f968932182d6a292b59bc31fa0ec45f46e1f9c32af,14,marikana,9,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,59,7,community,2,1,share_price;production_output;funding_debt;exploration_project;commodity_market,19,5,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0009,Marikana Where Is The Anc,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-marikana-where-is-the-anc/,https://www.dailymaverick.co.za/article/2012-08-21-marikana-where-is-the-anc/,explicit_case_title_review,priority_manual_review_case_signal,16747d6b32df9387f8b74c85cd9af45e5ee230f955656356d3caa2979ab958ad,retrieved_extracted,,2012-08-21,1424,16747d6b32df9387f8b74c85cd9af45e5ee230f955656356d3caa2979ab958ad,5,marikana;wonderkop,14,strike;worker_miner;police;shooting_death;union;protest_unrest,56,6,housing;community,5,2,share_price;transaction,2,2,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0010,A World Away From Its Reality Marikana Dissected Used Abused,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-22-a-world-away-from-its-reality-marikana-dissected-used-abused/,https://www.dailymaverick.co.za/article/2012-08-22-a-world-away-from-its-reality-marikana-dissected-used-abused/,explicit_case_title_review,priority_manual_review_case_signal,10b8eba07b240e7cb7180992965b1e8805bab63d5fbabf17b8bbdc553503b014,retrieved_extracted,,2012-08-22,1515,10b8eba07b240e7cb7180992965b1e8805bab63d5fbabf17b8bbdc553503b014,5,marikana;wonderkop,12,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,70,7,housing;community;justice_accountability;commission_inquiry,11,4,,0,0,true,false,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
