record_id_a,record_id_b,title_a,title_b,url_a,url_b,candidate_signal,fresh_status_a,fresh_status_b,fresh_words_a,fresh_words_b,fresh_sha256_a,fresh_sha256_b,extractor_a,extractor_b,fresh_hash_collision_a,fresh_hash_collision_b,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,text_evidence_signal,final_duplicate_decision,final_duplicate_reason
expanded_media_candidates_02__EXP-MEDIA-039,DISC-MEDIA-0440,Lonmin confirms work stoppage across shafts,Lonmin Confirms Work Stoppage Across Shafts,https://www.miningweekly.com/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,https://www.engineeringnews.co.za/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,exact_normalised_title,retrieved_extracted,retrieved_extracted,570,570,dc2b8ecee6ff4339ea681bedda5e509cad108fea5ec8021d0a6654f52f0a5235,dc2b8ecee6ff4339ea681bedda5e509cad108fea5ec8021d0a6654f52f0a5235,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_02__EXP-MEDIA-040,DISC-MEDIA-0367,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",Amcu Lonmin Talks Reach Deadlock Formal Arbitration To Start,https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,https://www.engineeringnews.co.za/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,exact_normalised_title,retrieved_extracted,retrieved_extracted,538,538,b057da8f4fe4258be47a2b2c79bb3d95497340a73955a25e1482b2a7e3a002fd,b057da8f4fe4258be47a2b2c79bb3d95497340a73955a25e1482b2a7e3a002fd,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_02__EXP-MEDIA-044,DISC-MEDIA-0458,"Lonmin hit hardest by strike, third capital raising expected",Lonmin Hit Hardest By Strike Third Capital Raising Expected,https://www.miningweekly.com/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,https://www.engineeringnews.co.za/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,exact_normalised_title,retrieved_extracted,retrieved_extracted,622,622,ae3077052f3bca8f1b55eb9430ca8f3c70f5b754a6462007fdc335138bf0490a,ae3077052f3bca8f1b55eb9430ca8f3c70f5b754a6462007fdc335138bf0490a,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_02__EXP-MEDIA-051,DISC-MEDIA-0473,"Lonmin ops ramping up, normal levels expected by Q1 2015",Lonmin Ops Ramping Up Normal Levels Expected By Q1 2015,https://www.miningweekly.com/article/lonmin-ops-ramping-up-normal-levels-expected-by-q1-2015-2014-07-25,https://www.engineeringnews.co.za/article/lonmin-ops-ramping-up-normal-levels-expected-by-q1-2015-2014-07-25,exact_normalised_title,retrieved_extracted,retrieved_extracted,1196,1196,4eea80111d2c561af09436a9f9ac007b468f0fa91feff08d180a16ab3d76b0f6,4eea80111d2c561af09436a9f9ac007b468f0fa91feff08d180a16ab3d76b0f6,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_02__EXP-MEDIA-052,DISC-MEDIA-0683,"We made significant progress in Marikana, says Lonmin",We Made Significant Progress In Marikana Says Lonmin,https://www.miningweekly.com/article/we-made-significant-progress-in-marikana-says-lonmin-2018-08-15,https://www.engineeringnews.co.za/article/we-made-significant-progress-in-marikana-says-lonmin-2018-08-15,exact_normalised_title,retrieved_extracted,retrieved_extracted,741,741,327146befd2fcc72f4b74978544608389cf3e2d2390d036bd46a2f8f38975497,327146befd2fcc72f4b74978544608389cf3e2d2390d036bd46a2f8f38975497,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates__EXP-MEDIA-002,DISC-MEDIA-0416,Lonmin accelerates union recognition process to ease Marikana tensions,Lonmin Accelerates Union Recognition Process To Ease Marikana Tensions,https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,https://www.engineeringnews.co.za/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,exact_normalised_title,retrieved_extracted,retrieved_extracted,585,585,2e07a1f92fe3e9964e5f3dfe7355f0a7c5b8ef01b3b0370eeeb869f5fa049677,2e07a1f92fe3e9964e5f3dfe7355f0a7c5b8ef01b3b0370eeeb869f5fa049677,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates__EXP-MEDIA-003,DISC-MEDIA-0514,Lonmin to derecognise smaller unions in favour of AMCU,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,exact_normalised_title,retrieved_extracted,retrieved_extracted,729,732,3d68673dc4852288b76b42fa83e2387f1c32df8090df9156858bea9160d60cc2,45ad63aae345b42e22250143683e1899814a904d8173f5386f83844e9ae385e3,trafilatura,trafilatura,false,false,0.985136,0.948171,0.851485,high_text_similarity_republication_review,,
expanded_media_candidates__EXP-MEDIA-004,DISC-MEDIA-0596,NUM wants members at Lonmin back,Num Wants Members At Lonmin Back,https://www.miningweekly.com/article/num-wants-members-at-lonmin-back-2013-07-11,https://www.engineeringnews.co.za/article/num-wants-members-at-lonmin-back-2013-07-11,exact_normalised_title,retrieved_extracted,retrieved_extracted,501,501,5f06f89f4cad53caa57ac16aeab2388f3a43ebb447cbbf9912789ec0c7d684b5,5f06f89f4cad53caa57ac16aeab2388f3a43ebb447cbbf9912789ec0c7d684b5,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates__EXP-MEDIA-005,DISC-MEDIA-0592,NUM member gunned down at Lonmin hostel,Num Member Gunned Down At Lonmin Hostel,https://www.miningweekly.com/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,https://www.engineeringnews.co.za/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,exact_normalised_title,retrieved_extracted,retrieved_extracted,616,616,5e03b0e74c989dc38ea16dc61155e714d55ec8aa1287f25775927b402aacadae,5e03b0e74c989dc38ea16dc61155e714d55ec8aa1287f25775927b402aacadae,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates__EXP-MEDIA-007,DISC-MEDIA-0679,Union puts chamber on spot over alleged Lonmin breach,Union Puts Chamber On Spot Over Alleged Lonmin Breach,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,https://www.engineeringnews.co.za/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-08-26,exact_normalised_title,retrieved_extracted,retrieved_extracted,1366,1379,1fe537ff0c935cb25231ed86a2ccaae5690d8bd9938ac46a7ed4c71f84a50dcb,0196aa19ca1e84f70ded8927cae46cbbd2440a505d1dd44edd4a7dde6e3c295e,trafilatura,trafilatura,false,false,0.992179,0.981378,0.950758,very_high_text_similarity_republication_likely,,
