record_id,fresh_fetch_status,fresh_fetch_error,prior_validated_text_sha256,prior_validated_text_words,reconciliation_decision,reconciliation_status,reconciliation_reason
CORP-001,retrieved_no_text,no_body_ge_80_words,544a9ffbe10c8e3f7d012fa4f6a4bb3392ad9ad5a9646b95b18c7a0791f63d9b,110199,retain_analysis_ready,fresh_recovery_reconciled_prior_validated_text,"Current live retrieval yielded insufficient text, but a prior reviewed extraction with a non-empty SHA-256 and >=80 words is preserved in the reconstruction provenance."
CORP-003,retrieved_no_text,no_body_ge_80_words,21a259fe9aac57165c6ad3d241076c274136bbd0c5bab8ef5f32db08d15ff9f8,147966,retain_analysis_ready,fresh_recovery_reconciled_prior_validated_text,"Current live retrieval yielded insufficient text, but a prior reviewed extraction with a non-empty SHA-256 and >=80 words is preserved in the reconstruction provenance."
expanded_corporate_candidates__EXP-CORP-002,retrieved_no_text,no_body_ge_80_words,b2af45e17550f0b05990f74d4c1ab401cd4d24405b9814d796763ee4fe596711,79172,retain_analysis_ready,fresh_recovery_reconciled_prior_validated_text,"Current live retrieval yielded insufficient text, but a prior reviewed extraction with a non-empty SHA-256 and >=80 words is preserved in the reconstruction provenance."
expanded_official_candidates_batch2__EXP-OFFICIAL-012,retrieved_no_text,no_body_ge_80_words,23bfc8e86a63504fe77b8c5e02bd7a2999db18d195c1777486a0e6f59e03b8ae,18325,retain_analysis_ready,fresh_recovery_reconciled_prior_validated_text,"Current live retrieval yielded insufficient text, but a prior reviewed extraction with a non-empty SHA-256 and >=80 words is preserved in the reconstruction provenance."
