record_id,source_phase,title,year,publisher,url,fetch_status,fetch_error,extraction_method,fresh_words,fresh_sha256,global_extraction_collision,usable_for_textwide_similarity
MEDIA-003,prior_screened_300,Lonmin: Malema fans the flames but the victims are still out in the cold,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-18-lonmin-malema-fans-the-flames-but-the-victims-are-still-out-in-the-cold/,retrieved_extracted,,trafilatura,2194,b2ab20803cc9e715d67c71e00c1482142a2f4a57242841d816989f58c45b8029,false,true
MEDIA-004,prior_screened_300,Marikana: Police torture takes centre stage,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-28-marikana-police-torture-takes-central-stage/,retrieved_extracted,,trafilatura,1236,3e4b51d039b2cd0052306fc2243a9b06e01dfa4382853aef05ad51e87fdd61c7,false,true
MEDIA-005,prior_screened_300,Marikana eyewitness: He raised his hands they shoot him in the head,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head/,retrieved_extracted,,trafilatura,1165,147696b0aff40f5a0385ea1d0351af60c90103a10eb1be49604a5543ebd6ec33,false,true
MEDIA-006,prior_screened_300,Marikana: Mourning families and their forgotten legal rights,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-28-marikana-mourning-families-and-their-forgotten-legal-rights/,retrieved_extracted,,trafilatura,1357,cc2494df2e3a6e9c504c2cc5647e9785d14707b073f54c94bdbb7ec0f1918a86,false,true
MEDIA-007,prior_screened_300,FIVE MINUTES: SOUTH AFRICA 16 August 2012,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-16-five-minutes-south-africa-16-august-2012/,retrieved_extracted,,trafilatura,1013,4990477a169e72ba640c1ceceaad864e56a7f8e3a6e696408e26c49a17275eac,false,true
MEDIA-008,prior_screened_300,Lonmin commemorates deceased mineworkers describes massacre as catalyst for change,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,retrieved_extracted,,trafilatura,1096,38c4d0b79bdbf7a16952fe0c5ec71d1fd1a4e6ad47826feb14fc6addf3ceb1b1,false,true
MEDIA-009,prior_screened_300,Economy failed miners says AMCUs Mathunjwa,2013,Mining Weekly,https://www.miningweekly.com/article/economy-failed-miners-says-amcus-mathunjwa-2013-08-16,retrieved_extracted,,trafilatura,614,404ef2c575a73e5c1ec735571e6da35f2cbd5a095fed42dce124ec2ee89be046,false,true
MEDIA-010,prior_screened_300,Slain Marikana workers to be remembered,2013,Mining Weekly,https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,retrieved_extracted,,trafilatura,840,22736f343d9e757131add6e5e0b69370f0c5c834d80601700f591ba425605584,false,true
MEDIA-011,prior_screened_300,Marikana one year later: the hell above and below ground,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-08-16-marikana-one-year-later-the-hell-above-and-below-ground/,retrieved_extracted,,trafilatura,1744,50d10ee46af277cb83cd6940cca260adf6db710011f17514d5561e92079e3d90,false,true
MEDIA-012,prior_screened_300,Ramaphosa says negotiation was Marikana panacea,2014,Mining Weekly,https://www.miningweekly.com/article/negotiation-was-marikana-panacea-ramaphosa-2014-08-11,retrieved_extracted,,trafilatura,1001,d1e64247a4e028f56d0f7a80121f6609b5f39e2be065a80842e8c98346c6e225,false,true
