record_id_a,record_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,host_a,host_b,analysis_ready_a,analysis_ready_b,text_sha256_a,text_sha256_b,same_trusted_hash,same_normalised_title,title_sequence_similarity,title_token_jaccard,slug_sequence_similarity,same_host,creamer_cross_site,candidate_signal,block_reasons,review_decision
MEDIA-038,DISC-MEDIA-0370,"AMCU stands firm on R12 500 demand, Lonmin calls on union to reconsider 9%",Amcu Stands Firm On R12 500 Demand Lonmin Calls On Union To Reconsider 9,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,https://www.engineeringnews.co.za/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,miningweekly.com,engineeringnews.co.za,true,true,94e3ad1f6b6588ff3cb8ed3b8602b93ff58845987c9b84a4819123536f32a898,040191d4838fb1777e4c09bf3b6553008fa940f303d62c3ea45a45d3654639b0,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-042,DISC-MEDIA-0589,Nothing off table as Lonmin pursues value in low platinum price environment,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,miningweekly.com,engineeringnews.co.za,true,true,0bf394eecacfd21af3c597357caff073b1b33b34c872bc23b96f65c7cd6334b5,6061ab8372dc8705607ee2e80f22eddb1823540cd28139c51c8ee580384ec589,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-047,DISC-MEDIA-0674,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,miningweekly.com,engineeringnews.co.za,true,true,dbaef47439d28cae9efb4d305cf48f3bb07a86db994590832329c689a695688f,bd469379229593a9cc3e5c58797db128797998c4ad643dda47ed2ae4c856fb90,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-048,DISC-MEDIA-0525,"Lonmin undertakes refinancing, delivers on results promise",Lonmin Undertakes Refinancing Delivers On Results Promise,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,miningweekly.com,engineeringnews.co.za,true,true,ae235576b42db012554ea774e72ccd7766e1758daf46d01e9fb58532abd34f40,7494c609004d6dc2ee02157a889141687cd472ff8baf6a3a5feb8506b0bd7940,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-049,DISC-MEDIA-0644,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",Sibanye Lonmin Merger Enters Final Stretch As Amcu Appeal Is Dismissed,2019,2019,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,https://www.engineeringnews.co.za/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,miningweekly.com,engineeringnews.co.za,true,true,231313a3ba196fc717b84fdb5ade922be5b8d9abee5f3873c038d617c522a014,c94122a498152a45f32f39b92e46070b1952569252c6da5a7e7ea715869e20d9,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-055,DISC-MEDIA-0652,Sibanye to hold webcast series to aid healing and renewal in Marikana,Sibanye To Hold Webcast Series To Aid Healing And Renewal In Marikana,2021,2021,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,https://www.engineeringnews.co.za/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,miningweekly.com,engineeringnews.co.za,true,true,9f5a177148997e97608108c15e4cc5d5ff718b7978d61dd51aae6d9bed3ee55a,2613ba3b2b86f52b948088b2ab4c973c98d9f933408eb9c735a403d25cb0a7a9,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
SAT-EARLY-MEDIA-001,DISC-MEDIA-0459,Lonmin inks landmark BEE deals with traditional community,Lonmin Inks Landmark Bee Deals With Traditional Community,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,miningweekly.com,engineeringnews.co.za,true,true,398fdbc3d30e17949e584a1c9ca01e3da5cbdeb8944d8bb683886574be20eb22,2b52a2f3771954cc9c0611a8c3969710cd78951799e379b6777994c8e36ea6df,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
SAT-EARLY-MEDIA-002,DISC-MEDIA-0585,Missing millions from Lonmin fund prompts community pay reform,Missing Millions From Lonmin Fund Prompts Community Pay Reform,2016,2016,Mining Weekly / Bloomberg,Engineering News,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,https://www.engineeringnews.co.za/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,miningweekly.com,engineeringnews.co.za,true,true,7b2cc1e43fc04299a0c305d1c9a1e55425622e4c6a44659d22e7bc1cca6dfe61,d4c29bb2b91c27f40b5e62890d3bfc123a3cf7645a9996f27d064992f0c6da37,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
SAT-EARLY-MEDIA-005,DISC-MEDIA-0378,Bapo cancel protest march against Lonmin after reaching new employment deal,Bapo Cancel Protest March Against Lonmin After Reaching New Employment Deal,2015,2015,Mining Weekly / African News Agency,Engineering News,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,https://www.engineeringnews.co.za/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,miningweekly.com,engineeringnews.co.za,true,true,15f62bdf86d15345069aafcb00393024b2e42e5da092672c5478b1572b817a99,cb54a9dcc41c76e674d821d58c19fbfd068dbd1361aecd094902508a5e6ca8c5,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
SAT-EARLY-MEDIA-007,DISC-MEDIA-0423,Lonmin artisan college forging ahead despite 2012 setbacks,Lonmin Artisan College Forging Ahead Despite 2012 Setbacks,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,https://www.engineeringnews.co.za/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,miningweekly.com,engineeringnews.co.za,true,true,a4e4f613f2bfe871abf154fafe0c20eeba1893e499d8001801e31078e70c1c59,343c41226d19d33ca448c5608c5f9a7100c5b0d7e317e2cc58b26d44a2701cac,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
SAT-MEDIA-015,DISC-MEDIA-0649,Sibanye-Stillwater restructures historical Lonmin BEE structure,Sibanye Stillwater Restructures Historical Lonmin Bee Structure,2021,2021,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,https://www.engineeringnews.co.za/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,miningweekly.com,engineeringnews.co.za,true,true,50b5fe2cc2ebabd9b558c43a1c81173c0f4d258f1296facad4af6b3b34ffde18,ef4a2bd6c96b68cd68ebd992cdedd3d9b0d9fe17595c6ceed5cbba835e0f9887,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
WEB-MEDIA-004,DISC-MEDIA-0635,Sibanye continues to make reparations at Marikana,Sibanye Continues To Make Reparations At Marikana,2022,2022,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,https://www.engineeringnews.co.za/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,miningweekly.com,engineeringnews.co.za,true,true,caa6af17666af9c26a64dfbe5de223ec5ed64addd7a07c82c93ef45a99382a44,85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_02__EXP-MEDIA-039,DISC-MEDIA-0440,Lonmin confirms work stoppage across shafts,Lonmin Confirms Work Stoppage Across Shafts,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,https://www.engineeringnews.co.za/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,miningweekly.com,engineeringnews.co.za,true,true,df08c6f12578837cbd87a411b789e1505a8dd33498fd2f50850c260e8516098c,5e9fa54401f2ac41a5046b1c32a021c7441685de64342985fc28be33b6fd5abb,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_02__EXP-MEDIA-040,DISC-MEDIA-0367,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",Amcu Lonmin Talks Reach Deadlock Formal Arbitration To Start,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,https://www.engineeringnews.co.za/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,miningweekly.com,engineeringnews.co.za,true,true,21f08622c1d677fade9452eaef495c867ab194d1448009134a3e719b398d1cc3,2cfd9f9de83584d3bcaacc0dc3f30c4291e8538c7c334e371787497e0491c107,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_02__EXP-MEDIA-044,DISC-MEDIA-0458,"Lonmin hit hardest by strike, third capital raising expected",Lonmin Hit Hardest By Strike Third Capital Raising Expected,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,https://www.engineeringnews.co.za/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,miningweekly.com,engineeringnews.co.za,true,true,0ef96d230189acb9b1ac83b83353921d1c2657c78c2f3e5dba56a4c96ee0b0c0,502260cde83d41b3ea9fefecd61f784850aa6308cdd9f516cfcd3a2b2d4a9126,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_02__EXP-MEDIA-051,DISC-MEDIA-0473,"Lonmin ops ramping up, normal levels expected by Q1 2015",Lonmin Ops Ramping Up Normal Levels Expected By Q1 2015,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-ops-ramping-up-normal-levels-expected-by-q1-2015-2014-07-25,https://www.engineeringnews.co.za/article/lonmin-ops-ramping-up-normal-levels-expected-by-q1-2015-2014-07-25,miningweekly.com,engineeringnews.co.za,true,true,cc2ec1006aff7203dde7101093cffe20f78605fac7cc80c63fec839928f2e7da,f096edd11dd1145ee890d13829026729720b3a3194b80c2a21234efb38e45646,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
