candidate_id,publisher,url,canonical_url,year,title,prescreen_bucket,final_url,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,title_has_case_process_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
SEC-MEDIA-0922,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwaters-us-operations-in-the-midst-of-major-growth-phase-2018-11-16,https://engineeringnews.co.za/article/sibanye-stillwaters-us-operations-in-the-midst-of-major-growth-phase-2018-11-16,2018,Sibanye Stillwaters Us Operations In The Midst Of Major Growth Phase,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-stillwaters-us-operations-in-the-midst-of-major-growth-phase-2018-11-16,retrieved_extracted,,2018-11-16,1137,912b36fc9934826b702b325798fc7e45025c8ddcca0f898c73049bfa33f70275,2,9,,0,worker_miner,4,1,,0,0,share_price;earnings_results;production_output;transaction;exploration_project,22,5,false,false,false,lonmin_low_context_review,Lonmin occurs in the body but without enough case/labour/social context for a defensible decision.,,,
SEC-MEDIA-0923,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stresses-importance-of-healthy-wetlands-2022-02-02,https://engineeringnews.co.za/article/sibanye-stresses-importance-of-healthy-wetlands-2022-02-02,2022,Sibanye Stresses Importance Of Healthy Wetlands,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-stresses-importance-of-healthy-wetlands-2022-02-02,retrieved_extracted,,2022-02-02,867,0d9c95022e2ec7b2f17edd193b863f6a0188547b1b67ffaa65158b49a404e517,0,8,,0,,0,0,community,1,1,earnings_results;exploration_project,4,2,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0924,Engineering News,https://www.engineeringnews.co.za/article/sibanye-supportive-of-south-africas-phased-approach-to-resuming-mining-activity-2020-04-23,https://engineeringnews.co.za/article/sibanye-supportive-of-south-africas-phased-approach-to-resuming-mining-activity-2020-04-23,2020,Sibanye Supportive Of South Africas Phased Approach To Resuming Mining Activity,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-supportive-of-south-africas-phased-approach-to-resuming-mining-activity-2020-04-23,retrieved_extracted,,2020-04-23,608,d121aa0ec0a9ed0c17037ebb60c555d2fa1556ff33707e41bfb00eacf3efad58,1,5,,0,worker_miner,1,1,,0,0,earnings_results;production_output,6,2,false,false,false,lonmin_low_context_review,Lonmin occurs in the body but without enough case/labour/social context for a defensible decision.,,,
SEC-MEDIA-0925,Engineering News,https://www.engineeringnews.co.za/article/sibanye-supports-icmm-water-stewardship-maturity-framework-2023-12-14,https://engineeringnews.co.za/article/sibanye-supports-icmm-water-stewardship-maturity-framework-2023-12-14,2023,Sibanye Supports Icmm Water Stewardship Maturity Framework,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-supports-icmm-water-stewardship-maturity-framework-2023-12-14,retrieved_extracted,,2023-12-14,945,38855b9426261459ace63fd05390e5cc972745c2f21003a651a2932aeb0ba5a7,0,8,,0,,0,0,community,1,1,earnings_results;production_output;exploration_project,5,3,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0926,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-amcu-members-at-kroondal-2016-06-10,https://engineeringnews.co.za/article/sibanye-suspends-amcu-members-at-kroondal-2016-06-10,2016,Sibanye Suspends Amcu Members At Kroondal,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-amcu-members-at-kroondal-2016-06-10,retrieved_extracted,,2016-06-10,452,9e0219ead523d4e76aa2e6be4a5252b945d257a27a3531ccb8d965f69b658a42,0,4,,0,worker_miner;police;union,10,3,justice_accountability,1,1,earnings_results,2,1,false,false,true,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0927,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-beatrix-4-shaft-operations-following-a-fire-2013-02-20,https://engineeringnews.co.za/article/sibanye-suspends-beatrix-4-shaft-operations-following-a-fire-2013-02-20,2013,Sibanye Suspends Beatrix 4 Shaft Operations Following A Fire,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-beatrix-4-shaft-operations-following-a-fire-2013-02-20,retrieved_extracted,,2013-02-20,474,60c193fcb01ca659beeaf324f3a9134b58e068d2920d2eadffca1b50ab17b3be,0,3,,0,,0,0,,0,0,earnings_results;production_output;exploration_project,8,3,false,false,false,ambiguous_secondary_review,Signals are insufficient for a defensible secondary-queue decision.,,,
SEC-MEDIA-0928,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-gold-guidance-but-reports-strong-first-quarter-earnings-2022-05-05,https://engineeringnews.co.za/article/sibanye-suspends-gold-guidance-but-reports-strong-first-quarter-earnings-2022-05-05,2022,Sibanye Suspends Gold Guidance But Reports Strong First Quarter Earnings,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-gold-guidance-but-reports-strong-first-quarter-earnings-2022-05-05,retrieved_extracted,,2022-05-05,1496,0cae68b228e18ef819ed244f2e91c231ab1885ddb74335867d405c5b6009a7f8,0,12,marikana,3,strike;worker_miner;wage;union,20,4,,0,0,earnings_results;production_output;transaction;exploration_project;commodity_market,38,5,false,true,false,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0929,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-kloof-4-shaft-operations-after-incident-2023-08-01,https://engineeringnews.co.za/article/sibanye-suspends-kloof-4-shaft-operations-after-incident-2023-08-01,2023,Sibanye Suspends Kloof 4 Shaft Operations After Incident,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-kloof-4-shaft-operations-after-incident-2023-08-01,retrieved_extracted,,2023-08-01,560,85af063336beae5d7ec9c9143542ada9a349db1c7da8ba1f865f7f0caa756b85,0,4,,0,worker_miner;union,4,2,,0,0,earnings_results;production_output;exploration_project,16,3,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0930,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-operations-at-kloof-mine-for-a-day-of-mourning-2018-06-12,https://engineeringnews.co.za/article/sibanye-suspends-operations-at-kloof-mine-for-a-day-of-mourning-2018-06-12,2018,Sibanye Suspends Operations At Kloof Mine For A Day Of Mourning,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-operations-at-kloof-mine-for-a-day-of-mourning-2018-06-12,retrieved_extracted,,2018-06-12,483,56283978e1fcccae000b2f348d866873222e74f3b72c6db9db2e35ec6709982f,0,5,,0,worker_miner;shooting_death,5,2,,0,0,earnings_results;exploration_project,5,2,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0931,Engineering News,https://www.engineeringnews.co.za/article/sibanye-suspends-operations-at-safety-impacted-south-african-mines-adjusts-guidance-2021-12-15,https://engineeringnews.co.za/article/sibanye-suspends-operations-at-safety-impacted-south-african-mines-adjusts-guidance-2021-12-15,2021,Sibanye Suspends Operations At Safety Impacted South African Mines Adjusts Guidance,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-suspends-operations-at-safety-impacted-south-african-mines-adjusts-guidance-2021-12-15,retrieved_extracted,,2021-12-15,1120,84cb204d0066e6145ddfd20763bdbe83bbfd8f9015990a7e607209bfa8eae943,0,10,,0,worker_miner;shooting_death,8,2,,0,0,earnings_results;production_output;exploration_project,21,3,false,true,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
