record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families,final_reconstructed_label,final_label_method,adjudication_score,pass1_stakeholder_group_proxy,pass1_stakeholder_confidence,pass1_stakeholder_method,final_stakeholder_group,final_stakeholder_status,final_stakeholder_method,final_stakeholder_confidence,third_pass_score_government,third_pass_score_investor,third_pass_score_community,third_pass_score_labour,third_pass_score_NGO
DISC-MEDIA-0540,Lonmins Strike Ends Amplats Braced For Trouble,2013,Engineering News,https://www.engineeringnews.co.za/article/lonmins-strike-ends-amplats-braced-for-trouble-2013-05-16,labour,0.0719,dominant_voice_proxy,0.350,13.550,0.000,14.600,0.000,0,-3.22944,0,7,0,-4.14575,0,7,0,1.0000,true,stakeholder_voice_low_confidence,,(?:strike|protest|unrest|industrial action) | strike,0,pass1_independent_readings_agree,,labour,0.0719,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.1345,0.800,20.600,0.000,23.800,0.000
DISC-MEDIA-0331,2014 The Marikana Vote,2013,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2013-08-15-2014-the-marikana-vote/,government,0.0902,dominant_voice_proxy,6.650,6.050,0.350,6.000,0.000,0,-3.13549,0,22,0,-4.00000,0,16,0,1.0000,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,government,0.0902,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.2333,2.400,6.000,0.000,4.600,0.000
DISC-MEDIA-0386,Community Lonmin To Pursue Equity Trust For Development,2014,Engineering News,https://www.engineeringnews.co.za/article/community-lonmin-to-pursue-equity-trust-for-development-2014-05-02,community,0.0000,dominant_voice_proxy,0.000,4.750,4.750,0.000,0.000,1,1.09861,2,0,1,2.91421,2,0,1,0.8026,true,stakeholder_voice_low_confidence,"(?:community|stakeholder).{0,35}(?:agreement|consent|engagement|participation|consultation|benefit|development)",,1,pass1_independent_readings_agree,,community,0.0000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,0.000,8.000,8.000,0.000,0.000
DISC-MEDIA-0151,Elections In Marikana The Mining Belt Makes Its Mark In Pictures,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-07-elections-in-marikana-the-mining-belt-makes-its-mark-in-pictures/,government,0.0000,fallback_no_actor_signal,0.000,0.000,0.000,0.000,0.000,1,1.09861,2,0,1,0.00000,0,0,1,0.2197,false,computational_readings_agree,,,1,pass1_independent_readings_agree,,government,0.0000,fallback_no_actor_signal,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,0.000,0.000,0.000,0.000,0.000
DISC-MEDIA-0595,Num To Fight Lonmin Job Losses,2015,Engineering News,https://www.engineeringnews.co.za/article/num-to-fight-lonmin-job-losses-2015-05-08,investor,0.1150,dominant_voice_proxy,0.000,18.700,0.000,16.550,0.000,0,-2.53629,0,3,0,-3.23205,0,3,0,1.0000,true,stakeholder_voice_low_confidence,,(?:retrenchment|job losses|layoffs) | job losses,0,pass1_independent_readings_agree,,investor,0.1150,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0797,0.000,27.600,0.000,25.400,0.000
DISC-MEDIA-0398,Farlam Report Raises Issues About Mining Stability As A Whole,2015,Engineering News,https://www.engineeringnews.co.za/article/farlam-report-raises-issues-about-mining-stability-as-a-whole-2015-06-29,government,0.0433,dominant_voice_proxy,33.500,32.050,0.700,4.950,11.050,0,-1.16315,4,15,0,-2.32744,2,14,0,0.6981,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,government,0.0433,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.1250,43.200,37.800,0.000,3.800,14.400
DISC-MEDIA-0198,Podcast Marikana The Fallout,2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-07-01-podcast-marikana-the-fallout/,community,0.0000,dominant_voice_proxy,0.000,0.000,0.350,0.350,0.000,0,-0.69315,0,1,0,-1.00000,0,1,0,0.3386,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,community,0.0000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,0.000,0.000,0.800,0.800,0.000
DISC-MEDIA-0241,Anc Leadership Race Dlamini Zumas Incredible Marikana Misstep,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-08-24-anc-leadership-race-dlamini-zumas-incredible-marikana-misstep/,community,0.0000,dominant_voice_proxy,0.700,0.350,0.700,0.000,0.000,0,-1.60944,0,4,0,-1.73205,0,3,0,0.6683,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,community,0.0000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.4900,0.800,0.800,1.600,0.000,0.000
DISC-MEDIA-0250,Cape Town Paying The Price To Live In Marikana,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-10-06-cape-town-paying-the-price-to-live-in-marikana/,government,0.0299,dominant_voice_proxy,11.700,0.000,11.350,0.000,0.000,0,-1.29928,2,10,0,-2.64575,0,7,0,0.7890,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,government,0.0299,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,12.200,0.000,12.200,0.000,0.000
DISC-MEDIA-0660,Solidarity Requests Labour Court To Review Lonmins Withdrawal Of Solidaritys Rights Recognition,2017,Engineering News,https://www.engineeringnews.co.za/article/solidarity-requests-labour-court-to-review-lonmins-withdrawal-of-solidaritys-rights-recognition-2017-10-24,labour,0.0397,dominant_voice_proxy,2.500,18.150,0.000,18.900,0.000,0,-0.18232,4,5,0,-0.73205,1,3,0,0.1829,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0397,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0207,3.800,28.400,0.000,29.000,0.000
SEC-MEDIA-0478,Platinum Giants Eye Sibanyes Gold Mining Deal As Wage Yardstick,2019,Engineering News,https://www.engineeringnews.co.za/article/platinum-giants-eye-sibanyes-gold-mining-deal-as-wage-yardstick-2019-07-18,labour,0.0193,dominant_voice_proxy,0.000,17.800,0.000,18.150,0.000,1,0.40547,8,5,0,-2.64575,0,7,,0.2717,true,stance_readings_disagree_or_low_margin,,,0,third_computational_adjudication_clear_margin,-0.815018,labour,0.0193,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0597,0.000,25.200,0.000,26.800,0.000
DISC-MEDIA-0265,Marikana The Seven Year Struggle,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-08-17-marikana-the-seven-year-struggle/,community,0.0000,dominant_voice_proxy,0.350,2.500,2.850,2.850,0.000,0,-0.69315,0,1,0,-1.00000,0,1,0,0.3386,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,community,0.0000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,0.800,3.800,4.600,4.600,0.000
DISC-MEDIA-0357,I Heard The Machine Gun Fire Sound Of Police Shooting Down The Mineworkers In Marikana How Did We Come To This,2021,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2021-08-18-i-heard-the-machine-gun-fire-sound-of-police-shooting-down-the-mineworkers-in-marikana-how-did-we-come-to-this/,labour,0.0864,dominant_voice_proxy,3.700,0.000,0.700,4.050,0.000,0,-2.24861,0,2,0,-2.91421,0,2,0,1.0000,true,stakeholder_voice_low_confidence,,(?:massacre|killings?|shootings?|deaths?|torture) | shoot(?:ing|ings)?,0,pass1_independent_readings_agree,,labour,0.0864,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0000,4.800,0.000,0.000,4.800,0.000
DISC-MEDIA-0360,Lets Never Forget The Marikana Massacre And Start The Daunting Task Of Building A Social Pact,2022,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2022-08-18-lets-never-forget-the-marikana-massacre-and-start-the-daunting-task-of-building-a-social-pact/,community,0.1000,dominant_voice_proxy,3.150,1.050,3.500,1.750,0.000,0,-1.96093,3,8,0,-1.81784,2,3,0,0.7558,true,stakeholder_voice_low_confidence,,(?:massacre|killings?|shootings?|deaths?|torture) | massacre,0,pass1_independent_readings_agree,,community,0.1000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.4900,1.600,0.000,0.800,0.000,0.000
