source_phase,n_final_labelled,resistant,pro_integration,resistant_fraction,pro_integration_fraction
archive_media_post_republication,548,504,44,0.9197080291970803,0.08029197080291971
prior_screened_300,259,226,33,0.8725868725868726,0.1274131274131274
