record_id,stakeholder_group,status,method,words,text_sha256,error
CORP-001,investor,retrieved_extracted,pymupdf,97635,69d7e0cfc85171f0ab5d28bdb78d1133d1d8238a7011ed9386679f55068f27c5,
CORP-002,investor,retrieved_extracted,pypdf,122802,d269633bc639acc87ed20b214d18d802f458ad69ce47042b983dbf9d91b33adf,
CORP-003,investor,retrieved_extracted,pymupdf,114947,8fe1b018c47e5e4987ebb90fe91a004a7892eaf0bc0fc287139ff73cdb67e48a,
CORP-004,investor,retrieved_extracted,pypdf,147501,65958f0fc322584867c0ac28484a9ca56280141635b86a8a009aa99a6e4a9c1f,
CORP-006,investor,retrieved_extracted,pypdf,41631,a69476d8e2ff830470035247b05aa0b7e041efda4a15ac6ca506fba7032cb8bd,
CORP-008,investor,retrieved_extracted,trafilatura,325,df977e9ab7ce473effc2d861b9e81ea46de34dbf6301a97233e976c1aff0e251,
CORP-009,investor,retrieved_extracted,trafilatura,2730,fac8bb110d5ede5abbd11bd0c773542c38250a1f1b3be863ec5cea218f4d6a47,
CORP-NEWS-001,investor,retrieved_extracted,pypdf,1438,cf1889aa2800aa0c8dd4a0fab7fbe5a38fc2742dc1854146c6514b488e478a42,
CORP-NEWS-003,investor,retrieved_extracted,pypdf,915,307fbad8eaa5dacb0714a59449e6e66ff139470c3c5252d6c6cfa5d9cf611886,
CORP-NEWS-005,investor,retrieved_extracted,pypdf,821,e78ae612e5d3dad931eb34174ad4c7d0c97481c3bab1ea8bd191b171c1ec651e,
CORP-SAT-001,investor,retrieved_extracted,trafilatura,120,281130ac753f39cf2e916790599e23ddc1bcbb57378b4383633223a9b8fc24bf,
CORP-SAT-002,investor,retrieved_extracted,trafilatura,1292,49e24cb29abbbd788baad726209355a1ff09d26df81ae312bb98c2dd0d2f6676,
CORP-SAT-003,investor,retrieved_extracted,trafilatura,478,2969298d169c91ef5b6f10c857ea1710ee696e94e6a00146ba3e3bb95fa34bd9,
CORP-SAT-004,investor,retrieved_extracted,trafilatura,1688,4fa6b310739a398a1307ac090b20c2a7c9df369c59c3da4d6d59f857771d405e,
DISC-MEDIA-0001,labour,retrieved_extracted,trafilatura,1239,8c12568b097eaf5088b2bc69f8d7cf039ee44c36ea62092bf6bb79c1e7e81aa1,
DISC-MEDIA-0002,investor,retrieved_extracted,trafilatura,960,0425b9e0b5d6443bd4c9e248039a4b07f54bb2ae7da492022ca8d8da72a847e5,
DISC-MEDIA-0003,labour,retrieved_extracted,trafilatura,1623,edf1c6138605d38cb5b8f7f6bafb52876b9ac59ab03d210eea107a991ea51097,
DISC-MEDIA-0004,labour,retrieved_extracted,trafilatura,914,2c199347114f21fa766065f1c27d1ec0ab0858e02053c20882d985ba538ca0da,
DISC-MEDIA-0005,investor,retrieved_extracted,trafilatura,1180,44613bb417302c3cdd7abfcd2443e36fc3affa1608bb802085ddb5eb244d49c4,
