publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-30-marikana-survivors-may-be-charged-with-murdering-own-comrades/,https://dailymaverick.co.za/article/2012-08-30-marikana-survivors-may-be-charged-with-murdering-own-comrades,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-31-apartheid-and-the-marikana-murder-charges-a-common-purpose-indeed/,https://dailymaverick.co.za/article/2012-08-31-apartheid-and-the-marikana-murder-charges-a-common-purpose-indeed,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,https://dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-far-away-from-murder-fields-of-marikana-a-funeral/,https://dailymaverick.co.za/article/2012-09-03-far-away-from-murder-fields-of-marikana-a-funeral,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-marikana-and-mangaung-where-tragedy-and-political-theatre-meet/,https://dailymaverick.co.za/article/2012-09-03-marikana-and-mangaung-where-tragedy-and-political-theatre-meet,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-marikana-civil-society-demands-justice-and-truth/,https://dailymaverick.co.za/article/2012-09-03-marikana-civil-society-demands-justice-and-truth,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-marikana-npa-drops-common-purpose-charges-but-critical-questions-remain/,https://dailymaverick.co.za/article/2012-09-03-marikana-npa-drops-common-purpose-charges-but-critical-questions-remain,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-04-marikana-a-common-purpose-for-162-miners-freedom/,https://dailymaverick.co.za/article/2012-09-04-marikana-a-common-purpose-for-162-miners-freedom,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-04-marikana-freed-miners-speak-of-torture-in-police-cells/,https://dailymaverick.co.za/article/2012-09-04-marikana-freed-miners-speak-of-torture-in-police-cells,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-05-lonmin-marikanas-near-total-stay-away/,https://dailymaverick.co.za/article/2012-09-05-lonmin-marikanas-near-total-stay-away,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-05-marikana-tide-is-turning-against-police-as-miners-lay-charge-of-torture/,https://dailymaverick.co.za/article/2012-09-05-marikana-tide-is-turning-against-police-as-miners-lay-charge-of-torture,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-farlam-commission-finding-truths-in-the-marikana-labyrinth/,https://dailymaverick.co.za/article/2012-09-06-farlam-commission-finding-truths-in-the-marikana-labyrinth,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-marikana-a-mining-town-on-edge/,https://dailymaverick.co.za/article/2012-09-06-marikana-a-mining-town-on-edge,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head/,https://dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-marikana-how-much-will-it-cost-south-africa/,https://dailymaverick.co.za/article/2012-09-06-marikana-how-much-will-it-cost-south-africa,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-06-marikana-strikers-send-down-tools-or-else-message-to-remaining-lonmin-employees/,https://dailymaverick.co.za/article/2012-09-06-marikana-strikers-send-down-tools-or-else-message-to-remaining-lonmin-employees,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-07-marikana-the-investigations-integrity-compromised-as-small-koppies-crime-scene-defaced/,https://dailymaverick.co.za/article/2012-09-07-marikana-the-investigations-integrity-compromised-as-small-koppies-crime-scene-defaced,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-08-marikanas-small-koppie-14-dead-300-metres-away-from-wonderkop-why/,https://dailymaverick.co.za/article/2012-09-08-marikanas-small-koppie-14-dead-300-metres-away-from-wonderkop-why,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-08-the-murder-fields-of-marikana-the-cold-murder-fields-of-marikana/,https://dailymaverick.co.za/article/2012-09-08-the-murder-fields-of-marikana-the-cold-murder-fields-of-marikana,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-analysis-the-worthless-marikana-peace-accord/,https://dailymaverick.co.za/article/2012-09-10-analysis-the-worthless-marikana-peace-accord,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight/,https://dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-marikana-gift-of-the-givers-brings-food-to-striking-miners/,https://dailymaverick.co.za/article/2012-09-10-marikana-gift-of-the-givers-brings-food-to-striking-miners,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-marikana-murders-the-world-now-believes/,https://dailymaverick.co.za/article/2012-09-10-marikana-murders-the-world-now-believes,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-11-plotting-sas-post-marikana-scenarios-grim-pictures-dominate/,https://dailymaverick.co.za/article/2012-09-11-plotting-sas-post-marikana-scenarios-grim-pictures-dominate,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-11-reporters-notebook-a-day-in-marikanas-theatre-of-the-absurd/,https://dailymaverick.co.za/article/2012-09-11-reporters-notebook-a-day-in-marikanas-theatre-of-the-absurd,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-12-marikana-malema-rebellion-revolution/,https://dailymaverick.co.za/article/2012-09-12-marikana-malema-rebellion-revolution,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-13-a-possible-way-out-of-the-marikana-stand-off/,https://dailymaverick.co.za/article/2012-09-13-a-possible-way-out-of-the-marikana-stand-off,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-14-reporters-marikana-notebook-the-governments-clenched-fist/,https://dailymaverick.co.za/article/2012-09-14-reporters-marikana-notebook-the-governments-clenched-fist,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-how-sam-the-banana-man-zemurray-explains-capitalism-and-marikana/,https://dailymaverick.co.za/article/2012-09-17-how-sam-the-banana-man-zemurray-explains-capitalism-and-marikana,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-in-embracing-marikana-the-sacc-revitalises-itself/,https://dailymaverick.co.za/article/2012-09-17-in-embracing-marikana-the-sacc-revitalises-itself,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-in-the-wake-of-marikana-anc-pushing-a-self-destruct-button/,https://dailymaverick.co.za/article/2012-09-17-in-the-wake-of-marikana-anc-pushing-a-self-destruct-button,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-marikana-notebook-a-thin-line-between-fear-and-hate/,https://dailymaverick.co.za/article/2012-09-17-marikana-notebook-a-thin-line-between-fear-and-hate,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-preview-cosatu-congress-haunted-by-the-pall-of-marikana/,https://dailymaverick.co.za/article/2012-09-17-preview-cosatu-congress-haunted-by-the-pall-of-marikana,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-reporters-marikana-notebook-police-intimidation-1-abandoned-community-0/,https://dailymaverick.co.za/article/2012-09-17-reporters-marikana-notebook-police-intimidation-1-abandoned-community-0,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-18-cosatu-congress-allies-talk-about-marikana-and-the-enemies-of-the-struggle/,https://dailymaverick.co.za/article/2012-09-18-cosatu-congress-allies-talk-about-marikana-and-the-enemies-of-the-struggle,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-18-cosatu-on-marikana-10-it-was-brute-force-cosatu-on-marikana-20-it-was-not-brute-force/,https://dailymaverick.co.za/article/2012-09-18-cosatu-on-marikana-10-it-was-brute-force-cosatu-on-marikana-20-it-was-not-brute-force,2012,explicit_case_title_review
